sales,price,compPrice,income,advertising,population,age,shelveLoc,location,country
11.23,104,112,38,17,316,80,Medium,Urban,USA
13.86,104,145,30,9,67,55,Medium,Urban,Other
15.77,103,111,58,17,407,75,Good,Rural,USA
8.9,131,114,83,3,412,39,Bad,Urban,Other
10.68,106,130,64,4,40,39,Bad,Rural,Other
13.25,131,136,58,16,241,44,Medium,Urban,USA
10.05,117,125,67,6,86,65,Bad,Urban,Other
10.12,100,123,36,10,467,74,Bad,Rural,USA
10.93,150,150,36,7,488,25,Medium,Rural,USA
13.55,108,134,107,10,104,60,Medium,Urban,Other
10.47,111,108,75,9,61,67,Medium,Urban,USA
15.26,122,135,100,22,463,36,Medium,Urban,USA
10.08,128,135,75,2,202,80,Medium,Rural,Other
9.81,149,121,68,3,279,79,Good,Urban,Other
12.36,133,121,24,10,200,73,Good,Urban,Other
15.31,121,159,80,16,362,26,Medium,Urban,Other
17.98,63,113,33,11,14,38,Good,Urban,Other
15.5,131,122,21,16,488,30,Good,Urban,USA
11.01,127,131,29,11,335,33,Bad,Urban,USA
8.9,151,124,65,21,496,77,Bad,Urban,USA
13.47,112,125,103,16,304,49,Medium,Rural,Other
11.2,118,128,93,10,89,34,Medium,Urban,Other
12.22,119,135,93,2,67,34,Medium,Urban,USA
13.73,121,129,76,16,58,69,Medium,Urban,USA
11.03,129,133,60,10,277,45,Medium,Urban,USA
8.62,128,112,80,5,500,69,Medium,Urban,USA
16.48,87,121,120,13,140,56,Medium,Urban,USA
9.62,138,121,96,2,472,51,Medium,Urban,Other
11.63,108,115,105,8,45,71,Medium,Urban,Other
14.03,110,104,102,13,123,35,Good,Urban,USA
11.44,120,96,94,14,384,36,Medium,Rural,USA
9.36,123,125,41,2,357,47,Bad,Rural,USA
12.52,128,116,72,7,237,70,Good,Urban,Other
13.43,126,138,80,14,108,70,Good,Rural,USA
5.91,117,93,91,1,22,75,Bad,Urban,Other
9.96,126,133,100,3,350,55,Bad,Urban,USA
11.2,136,150,68,5,125,64,Medium,Rural,USA
12.56,93,108,26,6,408,56,Medium,Rural,Other
14.54,136,125,87,9,232,72,Good,Urban,USA
16.93,134,123,98,12,408,29,Good,Urban,USA
14.14,90,134,67,17,286,41,Bad,Urban,Other
9.9,144,134,103,13,25,76,Medium,Rural,USA
11.53,131,140,42,2,331,28,Bad,Urban,Other
16.22,83,111,48,16,260,65,Good,Urban,USA
10.3,97,113,22,4,57,65,Medium,Rural,Other
12.3,117,129,89,4,425,45,Medium,Urban,Other
18.39,134,149,69,20,366,60,Good,Urban,USA
19.9,82,139,32,8,176,54,Good,Rural,Other
7.34,144,116,83,15,170,71,Bad,Urban,USA
13.44,107,128,42,8,328,35,Medium,Urban,USA
16.19,105,122,69,7,303,45,Good,Rural,USA
12.72,129,133,33,10,333,71,Good,Urban,USA
7.99,97,103,74,5,359,55,Bad,Urban,USA
11.67,125,116,99,5,298,62,Good,Urban,USA
8.13,130,130,62,11,396,66,Bad,Urban,USA
14.01,115,126,61,14,152,47,Medium,Urban,USA
11.1,124,153,63,2,49,56,Bad,Urban,Other
10.35,139,130,58,19,366,33,Bad,Urban,USA
14.16,139,140,50,10,300,60,Good,Urban,USA
13.8,119,145,53,18,507,41,Medium,Urban,Other
11.39,171,131,21,8,220,29,Good,Urban,USA
8.02,90,98,21,11,326,76,Bad,Rural,USA
13.01,118,128,39,12,356,71,Medium,Urban,USA
17.3,94,146,62,10,310,30,Medium,Rural,USA
7.93,160,143,21,5,81,67,Medium,Rural,USA
12.8,98,121,50,10,508,65,Medium,Rural,Other
9.67,111,111,28,3,486,29,Medium,Rural,Other
5.16,139,102,33,4,217,70,Medium,Rural,Other
11.95,159,128,29,5,324,31,Good,Urban,USA
10.16,114,115,60,4,119,38,Bad,Rural,Other
9.94,149,137,112,15,434,66,Bad,Urban,USA
10.73,144,141,33,2,243,34,Medium,Urban,Other
9.16,95,85,79,6,325,69,Medium,Urban,USA
12.45,129,161,82,5,287,33,Bad,Urban,USA
13.22,141,148,64,9,58,27,Medium,Rural,USA
10.17,143,138,35,6,60,28,Bad,Urban,Other
14.16,156,137,105,10,435,72,Good,Urban,USA
10.94,95,100,79,7,284,50,Bad,Urban,USA
9.74,140,137,60,4,230,25,Bad,Urban,Other
9.38,108,126,98,6,173,55,Bad,Urban,Other
13.41,77,94,84,13,497,51,Medium,Urban,USA
13.74,124,155,80,12,237,37,Medium,Urban,Other
5.53,159,122,88,7,36,28,Bad,Urban,USA
7.66,150,136,65,4,133,53,Bad,Urban,USA
16.27,89,100,54,9,433,45,Good,Urban,USA
9.2,144,147,40,5,277,73,Medium,Urban,Other
12.32,107,105,32,10,358,26,Medium,Rural,Other
12.63,83,93,117,9,489,42,Bad,Urban,USA
15.21,90,121,58,8,249,48,Medium,Rural,USA
16.96,94,117,94,4,503,50,Good,Urban,USA
10.81,107,125,111,5,404,54,Bad,Urban,Other
10.01,166,159,69,5,438,46,Medium,Urban,Other
17.01,94,136,63,12,160,38,Medium,Urban,Other
14,116,128,62,7,125,43,Medium,Urban,USA
9.34,111,106,44,7,481,70,Medium,Rural,Other
10.32,160,152,116,5,170,39,Medium,Urban,Other
10.83,112,134,82,7,473,51,Bad,Rural,USA
14.33,54,103,81,3,491,66,Medium,Urban,Other
16.7,104,144,69,11,131,47,Medium,Urban,USA
13.85,91,127,92,16,508,56,Medium,Urban,Other
13.71,144,149,95,5,400,76,Medium,Rural,Other
11.54,124,132,110,10,108,76,Medium,Rural,Other
9.19,112,117,93,4,420,66,Bad,Urban,USA
10.32,102,118,74,6,426,80,Medium,Urban,USA
18.91,68,110,110,14,408,46,Good,Rural,USA
15.06,80,113,35,10,269,59,Medium,Urban,USA
10.3,145,133,31,1,80,42,Medium,Urban,USA
7.07,126,119,98,2,18,73,Bad,Rural,Other
12.23,128,112,98,18,481,45,Medium,Urban,USA
15.71,79,109,22,10,348,74,Good,Rural,USA
13.89,100,122,76,15,270,60,Good,Rural,Other
13.19,155,127,103,20,125,29,Good,Rural,USA
7.23,121,111,25,5,52,43,Bad,Rural,Other
8.58,164,142,109,4,111,72,Good,Urban,Other
8.45,125,110,45,9,276,62,Medium,Urban,USA
9.1,141,134,82,5,464,48,Medium,Rural,Other
15.81,72,124,113,13,501,78,Bad,Rural,USA
8.15,111,117,66,1,65,55,Bad,Urban,USA
11.42,126,122,88,5,335,64,Medium,Urban,USA
10.56,146,144,92,3,349,62,Medium,Rural,Other
16.54,126,134,44,4,219,44,Good,Urban,USA
11.53,105,123,57,9,66,39,Medium,Urban,Other
13.33,131,107,115,11,496,50,Good,Rural,USA
15.62,116,116,79,19,359,58,Good,Urban,USA
13.7,134,150,84,9,432,64,Medium,Urban,Other
9.88,107,121,47,3,220,56,Bad,Rural,USA
13.23,139,149,84,5,220,33,Medium,Urban,USA
16.99,89,119,26,22,284,26,Good,Urban,Other
15.01,99,133,52,16,290,43,Medium,Urban,USA
10.9,120,138,92,4,13,61,Bad,Urban,Other
12.56,97,110,119,11,384,72,Medium,Rural,USA
11.37,132,120,77,15,86,48,Medium,Urban,USA
6.42,108,99,32,18,341,80,Bad,Urban,USA
15.96,86,115,28,11,29,53,Good,Urban,USA
9.42,108,121,90,5,150,75,Bad,Urban,Other
8.72,132,139,111,5,310,62,Bad,Urban,USA
9.53,125,114,113,5,97,29,Medium,Urban,Other
12.74,154,150,96,2,80,61,Good,Urban,Other
14.44,118,131,47,7,90,47,Medium,Urban,USA
12.8,125,136,48,12,326,36,Medium,Urban,USA
10.57,120,109,51,10,26,30,Medium,Rural,USA
14.62,135,151,28,8,499,48,Medium,Urban,USA
11.87,131,128,105,11,249,63,Medium,Urban,USA
12.9,124,132,46,4,206,73,Medium,Urban,Other
15.59,124,131,120,15,262,30,Medium,Urban,USA
9.12,134,123,42,11,16,59,Medium,Urban,USA
14.39,120,117,118,14,445,32,Medium,Urban,USA
8.47,81,108,38,5,251,72,Bad,Rural,Other
16.07,96,131,84,11,29,44,Medium,Rural,USA
10.25,110,131,55,9,26,79,Bad,Urban,USA
11.85,154,143,81,5,60,61,Medium,Urban,USA
15.51,119,140,54,9,402,41,Good,Rural,USA
8.91,98,116,52,6,349,69,Bad,Urban,Other
15.04,86,116,106,8,244,58,Medium,Urban,USA
15.36,103,107,105,18,428,34,Medium,Urban,USA
13.65,120,123,76,18,218,29,Medium,Rural,USA
11.53,162,154,30,7,122,57,Medium,Rural,Other
14.45,92,107,67,12,430,35,Medium,Rural,USA
12.8,122,119,33,6,245,56,Good,Urban,Other
13.03,132,115,29,26,394,33,Medium,Urban,USA
12.7,89,118,71,12,44,67,Medium,Rural,USA
15.07,107,130,100,11,449,64,Medium,Urban,USA
12.82,110,124,25,13,87,57,Medium,Urban,USA
15.43,24,77,69,24,25,50,Medium,Urban,Other
12.78,64,86,54,8,497,33,Bad,Urban,Other
9.21,137,118,35,14,502,79,Medium,Rural,USA
10.04,151,123,114,3,298,34,Bad,Urban,Other
21.27,92,141,60,19,319,44,Good,Urban,USA
17.49,127,122,77,24,382,36,Good,Rural,USA
14.32,108,141,34,16,361,69,Medium,Urban,USA
15.27,109,125,103,12,371,44,Medium,Urban,USA
12.95,119,128,66,3,493,45,Medium,Rural,Other
8.07,104,118,83,13,276,75,Bad,Urban,USA
14.32,96,134,27,18,467,49,Medium,Rural,USA
14.34,49,89,78,18,181,43,Medium,Rural,Other
16.48,77,104,41,15,492,73,Good,Urban,USA
9.95,121,121,28,19,315,66,Medium,Urban,USA
11.52,116,125,48,3,192,51,Medium,Urban,USA
9.69,124,132,113,5,131,76,Medium,Rural,USA
13.77,128,114,38,13,317,50,Good,Urban,USA
12.38,93,98,120,2,268,72,Medium,Rural,Other
8.47,103,107,79,2,488,65,Bad,Urban,Other
9.78,133,131,32,1,85,48,Medium,Urban,USA
11.93,130,135,69,14,296,73,Medium,Urban,USA
16.28,89,123,84,19,74,59,Good,Urban,Other
11.38,128,135,91,5,207,66,Medium,Urban,USA
7.52,138,124,61,3,333,76,Medium,Urban,Other
11.62,151,132,118,12,272,43,Medium,Urban,USA
15.49,114,122,84,8,176,57,Good,Rural,USA
10.98,134,124,56,11,447,53,Medium,Rural,USA
13.07,90,116,37,8,426,76,Medium,Urban,Other
10.07,96,123,91,2,334,78,Bad,Urban,USA
12.22,151,114,113,2,129,40,Good,Rural,USA
10.94,134,138,83,2,139,54,Medium,Urban,Other
13.97,125,132,107,5,144,33,Medium,Rural,Other
11.14,120,139,23,3,37,55,Medium,Rural,USA
10.97,101,112,24,8,164,45,Medium,Urban,Other
9.15,128,141,64,3,340,38,Bad,Urban,Other
12.49,157,146,34,11,220,51,Good,Urban,Other
16.67,87,125,89,10,380,28,Bad,Urban,USA
12.78,116,144,25,3,70,77,Medium,Urban,USA
8.98,136,122,35,2,393,62,Medium,Urban,Other
14.53,166,175,65,29,419,53,Medium,Urban,USA
12.81,118,137,102,13,422,71,Medium,Rural,USA
9.99,112,122,59,2,501,32,Bad,Rural,Other
12.43,91,121,83,8,79,68,Medium,Urban,Other
9.43,145,134,48,1,139,65,Medium,Urban,USA
11.5,94,108,69,3,208,77,Medium,Urban,Other
12.58,110,118,32,7,284,63,Good,Urban,Other
13.32,123,122,102,19,469,29,Bad,Urban,USA
10.52,116,115,45,5,432,25,Medium,Urban,Other
17.13,109,134,29,12,239,62,Good,Rural,USA
11.52,118,128,42,5,436,80,Medium,Urban,Other
12.41,87,99,93,4,198,57,Medium,Urban,USA
17.57,128,138,108,17,203,33,Good,Urban,USA
12.02,146,130,100,10,306,42,Good,Urban,Other
15.48,94,138,72,14,148,27,Medium,Urban,USA
12.52,98,123,39,5,499,34,Medium,Urban,Other
10.53,132,126,32,8,95,50,Medium,Urban,USA
16.18,80,131,111,13,33,68,Bad,Urban,USA
13.68,86,120,51,6,93,46,Medium,Rural,Other
11.92,119,109,64,13,39,61,Medium,Urban,USA
12.52,116,125,69,10,264,53,Medium,Urban,USA
